track_name,artist_name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,hotness,cluster
mandy,rosemary clooney,6TjpGzKvek8CCRa8xwxXDm,0.64,0.357,7,-7.486,1,0.0338,0.833,0.0,0.121,0.453,121.202,audio_features,6TjpGzKvek8CCRa8xwxXDm,spotify:track:6TjpGzKvek8CCRa8xwxXDm,https://api.spotify.com/v1/tracks/6TjpGzKvek8CCRa8xwxXDm,https://api.spotify.com/v1/audio-analysis/6TjpGzKvek8CCRa8xwxXDm,157200,4,no,3
diggin' my potatoes,james cotton,55Mx8N3JKrvr6sjGRIBfGL,0.785,0.278,9,-14.973,1,0.136,0.983,0.0409,0.388,0.924,117.031,audio_features,55Mx8N3JKrvr6sjGRIBfGL,spotify:track:55Mx8N3JKrvr6sjGRIBfGL,https://api.spotify.com/v1/tracks/55Mx8N3JKrvr6sjGRIBfGL,https://api.spotify.com/v1/audio-analysis/55Mx8N3JKrvr6sjGRIBfGL,127093,4,no,8
androgynous mind,sonic youth,0B0KaRWxOGlVkumLXIBluG,0.323,0.772,2,-10.319,1,0.35,0.128,0.112,0.527,0.219,148.561,audio_features,0B0KaRWxOGlVkumLXIBluG,spotify:track:0B0KaRWxOGlVkumLXIBluG,https://api.spotify.com/v1/tracks/0B0KaRWxOGlVkumLXIBluG,https://api.spotify.com/v1/audio-analysis/0B0KaRWxOGlVkumLXIBluG,210360,4,no,5
what we gonna do about it,cale dodds,3yplsfpJxafV8aRe1XA7yL,0.558,0.767,4,-4.561,0,0.0491,0.108,0.0,0.0954,0.715,158.019,audio_features,3yplsfpJxafV8aRe1XA7yL,spotify:track:3yplsfpJxafV8aRe1XA7yL,https://api.spotify.com/v1/tracks/3yplsfpJxafV8aRe1XA7yL,https://api.spotify.com/v1/audio-analysis/3yplsfpJxafV8aRe1XA7yL,163049,4,no,3
lies,the black keys,2scIG4pnqvCStKHTZiWB0V,0.436,0.626,2,-7.612,1,0.0361,0.295,0.697,0.117,0.409,94.643,audio_features,2scIG4pnqvCStKHTZiWB0V,spotify:track:2scIG4pnqvCStKHTZiWB0V,https://api.spotify.com/v1/tracks/2scIG4pnqvCStKHTZiWB0V,https://api.spotify.com/v1/audio-analysis/2scIG4pnqvCStKHTZiWB0V,219891,4,no,9
props-man style,mikey dread,0IiMne2pv3yBkTnaJUUwNA,0.741,0.344,10,-19.538,1,0.0679,0.129,0.869,0.0699,0.475,137.015,audio_features,0IiMne2pv3yBkTnaJUUwNA,spotify:track:0IiMne2pv3yBkTnaJUUwNA,https://api.spotify.com/v1/tracks/0IiMne2pv3yBkTnaJUUwNA,https://api.spotify.com/v1/audio-analysis/0IiMne2pv3yBkTnaJUUwNA,212413,4,no,8
a time for love,jane monheit,0Oho1Elt6nNyiHZyZR8OaG,0.249,0.284,1,-12.1,0,0.0368,0.941,5.62e-05,0.239,0.0738,116.665,audio_features,0Oho1Elt6nNyiHZyZR8OaG,spotify:track:0Oho1Elt6nNyiHZyZR8OaG,https://api.spotify.com/v1/tracks/0Oho1Elt6nNyiHZyZR8OaG,https://api.spotify.com/v1/audio-analysis/0Oho1Elt6nNyiHZyZR8OaG,301320,4,no,0
teach me tonight,diane schuur,0ijZ0j6YDhfOiyTg21uZEZ,0.236,0.169,7,-17.578,1,0.0324,0.684,0.000418,0.102,0.083,172.503,audio_features,0ijZ0j6YDhfOiyTg21uZEZ,spotify:track:0ijZ0j6YDhfOiyTg21uZEZ,https://api.spotify.com/v1/tracks/0ijZ0j6YDhfOiyTg21uZEZ,https://api.spotify.com/v1/audio-analysis/0ijZ0j6YDhfOiyTg21uZEZ,234667,5,no,1
"part time lover, full time fool",peggy scott-adams,0WPc1cvp5VnzNxJxPxQ9AS,0.661,0.452,2,-9.719,1,0.0641,0.299,2.08e-06,0.11,0.79,204.275,audio_features,0WPc1cvp5VnzNxJxPxQ9AS,spotify:track:0WPc1cvp5VnzNxJxPxQ9AS,https://api.spotify.com/v1/tracks/0WPc1cvp5VnzNxJxPxQ9AS,https://api.spotify.com/v1/audio-analysis/0WPc1cvp5VnzNxJxPxQ9AS,249333,4,no,6
nowhere fast,josh turner,5CEShjK3uYlUoH9tPpgk5w,0.604,0.485,4,-6.829,1,0.0355,0.313,1.24e-06,0.0763,0.433,145.896,audio_features,5CEShjK3uYlUoH9tPpgk5w,spotify:track:5CEShjK3uYlUoH9tPpgk5w,https://api.spotify.com/v1/tracks/5CEShjK3uYlUoH9tPpgk5w,https://api.spotify.com/v1/audio-analysis/5CEShjK3uYlUoH9tPpgk5w,329000,4,no,0
one note samba,herbie mann,5xTt7WCmlfdSa9aP3MV56A,0.636,0.209,3,-17.449,1,0.083,0.903,0.000996,0.317,0.731,82.332,audio_features,5xTt7WCmlfdSa9aP3MV56A,spotify:track:5xTt7WCmlfdSa9aP3MV56A,https://api.spotify.com/v1/tracks/5xTt7WCmlfdSa9aP3MV56A,https://api.spotify.com/v1/audio-analysis/5xTt7WCmlfdSa9aP3MV56A,201840,4,no,4
god only knows,glen campbell,21y4MAL3qi5rjUb5IIKqrx,0.386,0.428,7,-11.788,1,0.0251,0.289,0.00618,0.215,0.331,72.978,audio_features,21y4MAL3qi5rjUb5IIKqrx,spotify:track:21y4MAL3qi5rjUb5IIKqrx,https://api.spotify.com/v1/tracks/21y4MAL3qi5rjUb5IIKqrx,https://api.spotify.com/v1/audio-analysis/21y4MAL3qi5rjUb5IIKqrx,200573,4,no,3
la de la mala suerte,jesse & joy,40qGH4aiVeaFW7qIPCyTVa,0.545,0.466,6,-6.659,1,0.0301,0.0381,0.0,0.353,0.351,139.978,audio_features,40qGH4aiVeaFW7qIPCyTVa,spotify:track:40qGH4aiVeaFW7qIPCyTVa,https://api.spotify.com/v1/tracks/40qGH4aiVeaFW7qIPCyTVa,https://api.spotify.com/v1/audio-analysis/40qGH4aiVeaFW7qIPCyTVa,251147,4,no,6
lone star state of mind,don williams,098h9BfQHAky0Wo8NzhpOq,0.623,0.449,4,-13.811,1,0.0247,0.361,5.73e-06,0.413,0.816,93.233,audio_features,098h9BfQHAky0Wo8NzhpOq,spotify:track:098h9BfQHAky0Wo8NzhpOq,https://api.spotify.com/v1/tracks/098h9BfQHAky0Wo8NzhpOq,https://api.spotify.com/v1/audio-analysis/098h9BfQHAky0Wo8NzhpOq,187133,4,no,3
i have but one heart,connie francis,6sk6bCM7bhpVIJPSXjv1rr,0.19,0.129,8,-14.108,1,0.0386,0.926,0.000316,0.113,0.0774,73.814,audio_features,6sk6bCM7bhpVIJPSXjv1rr,spotify:track:6sk6bCM7bhpVIJPSXjv1rr,https://api.spotify.com/v1/tracks/6sk6bCM7bhpVIJPSXjv1rr,https://api.spotify.com/v1/audio-analysis/6sk6bCM7bhpVIJPSXjv1rr,213920,3,no,11
maybe tonight,vince gill,6CCG3ZO0TS924yKQXDmZgC,0.607,0.447,2,-9.67,1,0.0269,0.424,3.23e-06,0.118,0.424,124.877,audio_features,6CCG3ZO0TS924yKQXDmZgC,spotify:track:6CCG3ZO0TS924yKQXDmZgC,https://api.spotify.com/v1/tracks/6CCG3ZO0TS924yKQXDmZgC,https://api.spotify.com/v1/audio-analysis/6CCG3ZO0TS924yKQXDmZgC,291640,4,no,0
when a man loves a woman,bette midler,5VAb9PUHC2VgVtyjWAatsb,0.205,0.54,1,-10.715,1,0.0468,0.622,0.00248,0.704,0.419,172.246,audio_features,5VAb9PUHC2VgVtyjWAatsb,spotify:track:5VAb9PUHC2VgVtyjWAatsb,https://api.spotify.com/v1/tracks/5VAb9PUHC2VgVtyjWAatsb,https://api.spotify.com/v1/audio-analysis/5VAb9PUHC2VgVtyjWAatsb,299600,3,no,3
